iter	RMSE
0	261302.0295
1	252920.8026
2	244501.3531
3	236627.2903
4	228938.6538
5	222206.3514
6	214680.5848
7	207735.7624
8	201381.2391
9	195853.7115
10	190189.9593
11	184698.7047
12	179735.3243
13	174838.1171
14	169991.3532
15	165529.7616
16	161265.5704
17	156801.8629
18	152623.9496
19	148295.3616
20	144706.3116
21	141178.8741
22	137919.5644
23	134772.9424
24	131651.9059
25	129035.4818
26	126483.4356
27	124182.3405
28	121749.9154
29	119479.0517
30	117181.0284
31	115051.7632
32	113242.2142
33	111210.1999
34	109364.5745
35	107319.739
36	105784.3205
37	104172.9103
38	103015.1188
39	101638.340	106793.0922
41	105665.987
42	104580.8857
43	103562.3773
44	102219.9223
45	101344.7158
46	100236.1871
47	99186.9836
48	9848	93166.66438
49	92274.55151
50	91456.61992
51	90548.89228
52	89776.84339
53	89083.28478
54	88176.73475
55	87506.65744
56	86899.57527
57	86070.10842
58	85191.70385
59	84548.58545
60	83999.71391
61	83307.20726
62	82554.09865
63	81958.53034
64	81075.39037
65	80451.1027
66	79980.80802
67	79410.668	8568	78796.269	85178.48236
70	84511.74204
71	84223.02556
72	83821.35219
73	83433.88699
74	82982.85778
75	82224.38444
76	81948.04427
77	81806.70305
78	81278.80779
79	80845.69808
80	80569.30391
81	80071.8102
82	79499.25829
83	79191.20797
84	78678.20232
85	78140.36423
86	77839.09796
87	77290.74609
88	77004.06146
89	76683.06587
90	76306.14225
91	75938.78526
92	75525.84564
93	75218.52792
94	74797.73717
95	74450.27244
96	74181.73852
97	73918.57854
98	73694.0755
99	73352.96619
100	73071.36804
101	72912.19855
102	72343.8842
103	71986.00501
104	71714.74597
105	71228.64685
106	70897.31398
107	70655.68243
108	70330.40696
109	69940.93123
110	69632.74482
111	69392.17088
112	68997.33092
113	68747.40427
114	68313.28642
115	67780.24562
116	67509.57344
117	67189.90454
118	66885.69645
119	66342.58579
120	65971.82197
121	65692.49903
122	65347.33984
123	64966.31257
124	64772.37187
125	64649.3064
126	64245.80225
127	64067.10907
128	63898.37986
129	63448.91555
130	63257.4048
131	62961.14978
132	62619.26035
133	62227.33455
134	61945.45799
135	61655.11533
136	61039.42652
137	60691.81304
138	60521.5407
139	60357.95669
140	60267.49339
141	59651.0184
142	59174.77811
143	58908.69262
144	58306.75077
145	57889.41634
146	5773147	569147	57537.9478
148	56946.93647
149	56748.63233
150	56625.88097
151	56105.99366
152	55576.68342
153	55116.99621
154	55010.26839
155	54688.52424
156	54378.65467
157	54282.97763
158	53766.04153
159	53413.44787
160	53051.66888
161	52576.55848
162	52217.42389
163	52087.64251
164	51741.09387
165	51426.6063
166	51000.70474
167	50647.59953
168	50388.54706
169	50273.65598
170	49919.85158
171	49809.05616
172	49698.75439
173	49496.85031
174	49044.62106
175	48713.15589
176	48440.12603
177	48316.46881
178	47994.25912
179	47931.86593
180	47829.3401
181	47561.7232
182	47145.18505
183	46777.45437
184	46518.90742
185	46459.65655
186	46401.83305
187	46100.89222
188	46003.74106
189	45619.54769
190	45526.87242
191	45434.71607
192	45360.07009
193	44981.80309
194	44895.91495
195	44812.1597
196	44728.30674
197	44649.36193
198	44372.02545
199	44293.1331
22
