iter	Passed	Remaining
0	36	7341	1	55	5497
2	60	3992
3	71	3503
4	78	3076
5	97	3136
6	140	3874
7	149	3588
8	166	3541
9	173	3297
10	188	3235
11	206	3234
12	212	3056
13	222	2958
14	229	2825
15	236	2716
16	240	2592
17	244	2475
18	252	2403
19	253	2285
20	257	2197
21	265	2150
22	274	2111
23	275	2022
24	291	2039
25	295	1977
26	297	1904
27	298	1834
28	300	1771
29	301	1710
30	303	1653
31	304	1600
32	305	1547
33	306	1498
34	307	1451
35	308	1407
36	310	1366
37	311	1326
38	312	1290
39	31340	310	1202
41	313	1180
42	321	1174
43	324	1148
44	325	1120
45	326	1093
46	328	1067
47	329	1043
48	48	332	1024
49	335	1006
50	340	995
51	343	979
52	346	960
53	349	945
54	353	933
55	356	916
56	358	898
57	359	880
58	361	864
59	363	847
60	364	830
61	365	814
62	367	798
63	368	783
64	370	768
65	371	754
66	372	740
67	368	379	68	369	383	712
70	386	702
71	392	697
72	396	689
73	399	680
74	402	670
75	403	658
76	406	648
77	406	636
78	407	624
79	409	614
80	412	605
81	414	596
82	416	586
83	417	577
84	419	567
85	421	558
86	422	549
87	423	539
88	425	530
89	426	521
90	429	514
91	430	505
92	431	496
93	436	491
94	440	487
95	443	480
96	448	476
97	453	471
98	455	465
99	457	457
100	461	452
101	470	452
102	473	445
103	476	439
104	478	433
105	482	428
106	485	421
107	487	415
108	491	410
109	492	403
110	495	397
111	496	390
112	499	384
113	501	378
114	503	372
115	506	366
116	508	360
117	520	361
118	522	355
119	525	350
120	534	349
121	537	343
122	542	339
123	549	336
124	555	333
125	557	327
126	560	322
127	565	317
128	569	313
129	572	308
130	573	302
131	578	298
132	579	292
133	583	287
134	593	285
135	617	290
136	627	288
137	630	283
138	651	285
139	672	288
140	682	285
141	685	279
142	693	276
143	695	270
144	700	265
145	702	260
146	704	254
147	708	248
148	710	243
149	715	238
150	718	233
151	720	227
152	724	222
153	730	218
154	732	212
155	736	207
156	738	202
157	740	196
158	742	191
159	744	186
160	746	180
161	747	175
162	748	169
163	749	164
164	751	159
165	752	154
166	754	149
167	755	143
168	756	138
169	758	133
170	759	128
171	760	123
172	761	118
173	763	114
174	764	109
175	765	104
176	767	99
177	768	95
178	769	90
179	771	85
180	772	81
181	773	76
182	774	71
183	776	67
184	777	63
185	779	58
186	781	54
187	782	49
188	783	45
189	785	41
190	786	37
191	787	32
192	788	28
193	789	24
194	790	20
195	792	16
196	793	12
197	794	8
198	796	4
199	797	0
	0
787	0
