iter	RMSE
0	262814.3366
1	254131.2719
2	245768.4993
3	237752.2373
4	229931.1762
5	223186.1096
6	215616.6956
7	208521.6391
8	201987.6074
9	196046.3312
10	190497.2293
11	185143.477
12	179837.6583
13	175205.2939
14	170904.8056
15	167213.0689
16	163052.7392
17	159017.8369
18	155127.7404
19	151312.8659
20	147560.7561
21	143840.498
22	140536.0769
23	137381.6768
24	133818.7565
25	131138.3418
26	128543.9183
27	126129.1927
28	123960.9588
29	121747.1901
30	119424.3426
31	117682.7987
32	115254.4991
33	113334.7009
34	111618.5116
35	109553.7066
36	107924.0849
37	106145.3984
38	104609.4788
39	103160.6449
40	101908.4232
41	100610.5521
42	99561.39117
43	98670.11868
44	97394.59509
45	96288.09721
46	94957.23747
47	94189.80891
48	93166.66438
49	92274.55151
50	91456.61992
51	90548.89228
52	89776.84339
53	89083.28478
54	88176.73475
55	87506.65744
56	86899.57527
57	86070.10842
58	85191.70385
59	84548.58545
60	83999.71391
61	83307.20726
62	82554.09865
63	81958.53034
64	81075.39037
65	80451.1027
66	79980.80802
67	79410.68959
68	78796.23005
69	78468.56938
70	77756.40216
71	77209.32269
72	76936.80393
73	76414.40953
74	75917.92194
75	75243.62856
76	74646.56728
77	74399.8758
78	73939.17614
79	73562.72484
80	73257.43527
81	72920.44753
82	72423.45433
83	72088.60538
84	71814.81054
85	71320.21679
86	70966.02592
87	70723.5017
88	70273.06683
89	69858.80416
90	69379.8331
91	68813.75137
92	68411.56673
93	68029.29035
94	67628.75412
95	67398.06595
96	67106.83989
97	66776.54901
98	66550.68174
99	66258.67492
100	65908.8154
101	65538.28094
102	65166.14382
103	64752.39546
104	64320.43827
105	63807.16644
106	63487.96452
107	63152.90375
108	62942.04468
109	62379.24007
110	62211.675
111	61819.27811
112	61031.06573
113	60778.35243
114	60409.29883
115	59963.81178
116	59639.42867
117	59307.68156
118	59100.91582
119	58758.4774
120	58273.62603
121	58095.19889
122	57801.99751
123	57551.96057
124	57423.22792
125	57306.3208
126	57182.11152
127	56752.77013
128	56608.33466
129	55928.32315
130	55736.6529
131	55611.9529
132	55436.29729
133	55147.31961
134	54697.30541
135	54354.64778
136	54144.29879
137	54021.42169
138	53778.84844
139	53354.47844
140	53103.93223
141	52996.83716
142	52646.22893
143	52458.91253
144	52363.43096
145	52258.73783
146	51514.8234
147	51281.55798
148	51175.33622
149	51073.40699
150	50980.83605
151	50809.76939
152	50224.12663
153	49784.86709
154	49692.80822
155	49606.85126
156	49519.81658
157	49016.34343
158	48929.1193
159	48722.50812
160	48426.78011
161	48331.37501
162	48255.68907
163	47772.81754
164	47520.66346
165	47057.97166
166	46780.38664
167	46336.7783
168	45946.2687
169	45566.36689
170	45317.1446
171	44946.46341
172	44866.93271
173	44505.76147
174	44162.19777
175	43808.06345
176	43484.76702
177	43145.87316
178	42815.90971
179	42745.76428
180	42567.96513
181	42493.43384
182	42135.19851
183	41857.96026
184	41511.43208
185	41439.58045
186	41228.9569
187	41158.86794
188	40890.0048
189	40811.61368
190	40621.18838
191	40554.34816
192	40225.24085
193	39926.02391
194	39861.40388
195	39608.03763
196	39401.2169
197	39328.68845
198	39015.52837
199	38953.47657
2
