iter	Passed	Remaining
0	2	536
1	4	428
2	7	500
3	9	454
4	13	532
5	35	1140
6	41	1133
7	42	1022
8	44	950
9	60	1158
10	64	1112
11	81	1276
12	87	1257
13	113	1503
14	143	1768
15	157	1812
16	185	1999
17	195	1974
18	207	1980
19	232	2094
20	257	2197
21	272	2204
22	275	2120
23	278	2039
24	301	2107
25	309	2069
26	313	2010
27	315	1938
28	317	1871
29	321	1822
30	324	1771
31	330	1732
32	332	1684
33	334	1632
34	335	1583
35	337	1537
36	338	1491
37	340	1450
38	343	1419
39	346	1384
40	347	1348
41	364	1369
42	366	1336
43	367	1303
44	370	1274
45	371	1244
46	376	1224
47	381	1207
48	390	1202
49	397	1191
50	413	1207
51	422	1201
52	425	1181
53	439	1189
54	445	1175
55	462	1188
56	493	1237
57	504	1234
58	506	1211
59	508	1186
60	521	1187
61	523	1164
62	534	1163
63	538	1144
64	541	1124
65	553	1123
66	558	1108
67	562	1092
68	567	1076
69	569	1057
70	573	1042
71	583	1037
72	587	1022
73	589	1003
74	592	987
75	610	995
76	630	1007
77	646	1010
78	660	1012
79	674	1011
80	675	992
81	677	974
82	679	957
83	681	941
84	687	930
85	690	915
86	692	899
87	697	887
88	706	880
89	713	872
90	716	858
91	718	843
92	725	834
93	728	821
94	736	813
95	741	802
96	747	793
97	748	779
98	751	766
99	754	754
100	757	742
101	764	734
102	765	721
103	767	708
104	769	695
105	772	684
106	773	672
107	777	662
108	780	651
109	782	639
110	783	628
111	788	619
112	794	611
113	796	601
114	799	590
115	802	580
116	804	570
117	807	561
118	809	551
119	811	540
120	813	530
121	816	521
122	818	512
123	820	502
124	821	493
125	823	483
126	825	474
127	826	465
128	828	456
129	831	447
130	833	438
131	835	430
132	837	421
133	839	413
134	841	405
135	842	396
136	844	388
137	847	380
138	851	373
139	854	366
140	857	358
141	860	351
142	862	343
143	864	336
144	867	329
145	869	321
146	872	314
147	874	307
148	876	299
149	878	292
150	880	285
151	882	278
152	887	272
153	890	265
154	892	259
155	894	252
156	897	245
157	899	239
158	901	232
159	903	225
160	905	219
161	907	212
162	908	206
163	910	199
164	913	193
165	916	187
166	918	181
167	919	175
168	921	168
169	922	162
170	925	156
171	929	151
172	933	145
173	936	139
174	938	134
175	940	128
176	942	122
177	944	116
178	945	110
179	947	105
180	949	99
181	951	94
182	952	88
183	954	82
184	956	77
185	958	72
186	960	66
187	962	61
188	964	56
189	966	50
190	968	45
191	970	40
192	973	35
193	974	30
194	976	25
195	978	19
196	981	14
197	983	9
198	984	4
199	987	0
198	1098	5
199	1100	0
