NA (cm^-3),ND (cm^-3),ni (cm^-3),tsi (nm),tox (nm),L (nm),PhiM (eV),Ld (nm),Er (V/cm)
1e+20,5e+18,10000000000.0,3.3404323622719048,3.0023139562596897,85.27359772342,4.4,1.2297304340937898,13359650.520082021
1e+20,5e+18,10000000000.0,4.465522501470655,3.565492625915568,38.57666951083046,4.4,0.9360476048402094,17433700.019311137
1e+20,5e+18,10000000000.0,9.48684505664022,3.7569630062863975,60.59137603220517,4.4,1.6832736384259064,7308484.556807827
1e+20,5e+18,10000000000.0,6.493384538035229,2.0254867358216284,43.44236593075455,4.4,1.7283160930895438,10087182.074879171
1e+20,5e+18,10000000000.0,8.514764071146661,4.283017948848666,57.86121666584329,4.4,1.3567451235279526,7729058.569685055
1e+20,5e+18,10000000000.0,7.39316350641099,4.139042875585222,42.115104822673146,4.4,1.4324759763692587,9883334.227964703
1e+20,5e+18,10000000000.0,2.0125281747396855,3.0988591586195664,19.41100543889451,4.4,0.6663313196560752,22000583.709055368
1e+20,5e+18,10000000000.0,7.62328365736554,2.158807806706455,47.18707519229414,4.4,1.949596568007816,7895570.419246637
1e+20,5e+18,10000000000.0,3.4758899340321197,4.264797619355151,48.98682552505748,4.4,1.0010182412625888,19529860.501561858
1e+20,5e+18,10000000000.0,6.751970622952357,4.865525481434397,73.52253479863401,4.4,1.3326695193040803,9400635.954661265
1e+20,5e+18,10000000000.0,4.068657762786897,2.720454788066043,66.99030140404156,4.4,1.0617705761590464,18018513.012192022
1e+20,5e+18,10000000000.0,9.979050369381932,2.9705738412111136,60.74987128290564,4.4,2.1242016103248513,4298091.178300222
1e+20,5e+18,10000000000.0,3.3719633154710005,2.551438668445445,12.86467731307381,4.4,1.2214081216649324,20055983.78537527
1e+20,5e+18,10000000000.0,3.512174236968427,3.730808370034519,65.69361728774321,4.4,1.1184553264664514,17470975.263560172
1e+20,5e+18,10000000000.0,9.376050300061586,2.464524183942365,46.52654860284279,4.4,1.939004708754659,5883760.516817554
1e+20,5e+18,10000000000.0,1.221799641726904,3.0685818303841383,80.78665964123586,4.4,0.6416118502779956,43878715.837227546
1e+20,5e+18,10000000000.0,7.270200890858772,4.091039041802789,83.02877126935722,4.4,1.5565252668125502,8917677.280759359
1e+20,5e+18,10000000000.0,7.527937516622903,3.6803479490280453,7.798623382355335,4.4,1.6589679865817546,10047880.288425036
1e+20,5e+18,10000000000.0,8.527407196693595,3.1593876929838056,74.39581575083966,4.4,1.608818249056606,7018198.575910579
1e+20,5e+18,10000000000.0,9.769953795746279,3.260748805422626,6.279672966772344,4.4,1.5747689132417098,7470754.528527589
1e+20,5e+18,10000000000.0,9.780417272409872,3.6863326478696887,34.94375743546697,4.4,1.5592474802532101,5734546.258264007
1e+20,5e+18,10000000000.0,1.587490818098175,2.017594183661484,50.18009787903388,4.4,0.847208205866522,27777029.012712095
1e+20,5e+18,10000000000.0,8.396553904776123,2.2355296053608296,15.884769480560088,4.4,1.7728059577286728,5056863.796728957
1e+20,5e+18,10000000000.0,6.816789402916432,4.643774203289035,67.92930169350969,4.4,1.0994320821802708,6169088.168538019
1e+20,5e+18,10000000000.0,6.826079209357821,2.2336369672738723,3.7268592629760557,4.4,2.000629968619346,8087513.195367743
1e+20,5e+18,10000000000.0,2.155149339532253,4.120410788631515,17.668117213761207,4.4,0.5987834569219999,24819398.383335643
1e+20,5e+18,10000000000.0,6.85168449801088,4.760114492327158,53.529324197252386,4.4,1.284983299539911,10029282.720891807
